"condition","brightness_rating","File","gender","age","student","psycho","cd","cd_comparable"
"reversal",15,"001_stevens.dat","m",31,0,0,3.2,32
"reversal",3,"001_stevens.dat","m",31,0,0,100,1
"reversal",9,"001_stevens.dat","m",31,0,0,17.9,5.7
"reversal",4,"001_stevens.dat","m",31,0,0,100,1
"reversal",9,"001_stevens.dat","m",31,0,0,17.9,5.7
"reversal",18,"001_stevens.dat","m",31,0,0,1.8,57.2
"reversal",12,"001_stevens.dat","m",31,0,0,5.7,17.9
"reversal",25,"001_stevens.dat","m",31,0,0,1,100
"reversal",12,"001_stevens.dat","m",31,0,0,5.7,17.9
"reversal",30,"001_stevens.dat","m",31,0,0,1,100
"reversal",3,"001_stevens.dat","m",31,0,0,57.2,1.8
"reversal",35,"001_stevens.dat","m",31,0,0,1,100
"reversal",30,"001_stevens.dat","m",31,0,0,1.8,57.2
"reversal",5,"001_stevens.dat","m",31,0,0,100,1
"reversal",40,"001_stevens.dat","m",31,0,0,1.8,57.2
"reversal",7,"001_stevens.dat","m",31,0,0,57.2,1.8
"reversal",8,"001_stevens.dat","m",31,0,0,32,3.2
"reversal",18,"001_stevens.dat","m",31,0,0,1.8,57.2
"reversal",7,"001_stevens.dat","m",31,0,0,32,3.2
"reversal",6,"001_stevens.dat","m",31,0,0,32,3.2
"reversal",4,"001_stevens.dat","m",31,0,0,57.2,1.8
"reversal",7,"001_stevens.dat","m",31,0,0,32,3.2
"reversal",20,"001_stevens.dat","m",31,0,0,1.8,57.2
"reversal",20,"001_stevens.dat","m",31,0,0,3.2,32
"reversal",22,"001_stevens.dat","m",31,0,0,3.2,32
"reversal",9.5,"001_stevens.dat","m",31,0,0,17.9,5.7
"reversal",4,"001_stevens.dat","m",31,0,0,57.2,1.8
"reversal",2.5,"001_stevens.dat","m",31,0,0,100,1
"reversal",3.5,"001_stevens.dat","m",31,0,0,57.2,1.8
"reversal",45,"001_stevens.dat","m",31,0,0,1,100
"reversal",13,"001_stevens.dat","m",31,0,0,5.7,17.9
"reversal",15,"001_stevens.dat","m",31,0,0,3.2,32
"reversal",9.5,"001_stevens.dat","m",31,0,0,17.9,5.7
"reversal",8,"001_stevens.dat","m",31,0,0,32,3.2
"reversal",45,"001_stevens.dat","m",31,0,0,1,100
"reversal",9.8,"001_stevens.dat","m",31,0,0,17.9,5.7
"reversal",12,"001_stevens.dat","m",31,0,0,3.2,32
"reversal",11.5,"001_stevens.dat","m",31,0,0,5.7,17.9
"reversal",3,"001_stevens.dat","m",31,0,0,100,1
"reversal",11,"001_stevens.dat","m",31,0,0,5.7,17.9
"standard",11,"001_stevens.dat","m",31,0,0,17.9,17.9
"standard",11,"001_stevens.dat","m",31,0,0,17.9,17.9
"standard",9.5,"001_stevens.dat","m",31,0,0,5.7,5.7
"standard",7.5,"001_stevens.dat","m",31,0,0,1.8,1.8
"standard",8,"001_stevens.dat","m",31,0,0,3.2,3.2
"standard",4,"001_stevens.dat","m",31,0,0,1,1
"standard",12,"001_stevens.dat","m",31,0,0,32,32
"standard",14,"001_stevens.dat","m",31,0,0,57.2,57.2
"standard",11,"001_stevens.dat","m",31,0,0,32,32
"standard",3.6,"001_stevens.dat","m",31,0,0,1.8,1.8
"standard",20,"001_stevens.dat","m",31,0,0,100,100
"standard",11.5,"001_stevens.dat","m",31,0,0,32,32
"standard",7,"001_stevens.dat","m",31,0,0,1.8,1.8
"standard",7.8,"001_stevens.dat","m",31,0,0,3.2,3.2
"standard",4,"001_stevens.dat","m",31,0,0,1,1
"standard",4.5,"001_stevens.dat","m",31,0,0,1.8,1.8
"standard",6,"001_stevens.dat","m",31,0,0,5.7,5.7
"standard",14,"001_stevens.dat","m",31,0,0,32,32
"standard",18,"001_stevens.dat","m",31,0,0,57.2,57.2
"standard",11,"001_stevens.dat","m",31,0,0,17.9,17.9
"standard",8.7,"001_stevens.dat","m",31,0,0,3.2,3.2
"standard",10.2,"001_stevens.dat","m",31,0,0,17.9,17.9
"standard",20,"001_stevens.dat","m",31,0,0,57.2,57.2
"standard",9.6,"001_stevens.dat","m",31,0,0,5.7,5.7
"standard",8,"001_stevens.dat","m",31,0,0,3.2,3.2
"standard",9.8,"001_stevens.dat","m",31,0,0,5.7,5.7
"standard",30,"001_stevens.dat","m",31,0,0,100,100
"standard",29,"001_stevens.dat","m",31,0,0,100,100
"standard",8,"001_stevens.dat","m",31,0,0,3.2,3.2
"standard",23,"001_stevens.dat","m",31,0,0,100,100
"standard",3.3,"001_stevens.dat","m",31,0,0,1,1
"standard",4,"001_stevens.dat","m",31,0,0,1.8,1.8
"standard",14,"001_stevens.dat","m",31,0,0,57.2,57.2
