"condition","brightness_dichotom","brightness_rating","File","gender","age","student","psycho","cd"
"unidirectional",1,15,"001_stevens.dat","w",26,0,0,57.2
"unidirectional",1,13,"001_stevens.dat","w",26,0,0,32
"unidirectional",0,13,"001_stevens.dat","w",26,0,0,3.2
"unidirectional",1,15,"001_stevens.dat","w",26,0,0,57.2
"unidirectional",1,11,"001_stevens.dat","w",26,0,0,17.9
"unidirectional",0,20,"001_stevens.dat","w",26,0,0,1.8
"unidirectional",1,12,"001_stevens.dat","w",26,0,0,32
"unidirectional",0,30,"001_stevens.dat","w",26,0,0,1
"unidirectional",1,12,"001_stevens.dat","w",26,0,0,32
"unidirectional",0,15,"001_stevens.dat","w",26,0,0,1.8
"unidirectional",0,15,"001_stevens.dat","w",26,0,0,1.8
"unidirectional",0,11,"001_stevens.dat","w",26,0,0,5.7
"unidirectional",1,25,"001_stevens.dat","w",26,0,0,100
"unidirectional",0,20,"001_stevens.dat","w",26,0,0,1
"unidirectional",0,13,"001_stevens.dat","w",26,0,0,3.2
"unidirectional",0,13,"001_stevens.dat","w",26,0,0,3.2
"unidirectional",0,12,"001_stevens.dat","w",26,0,0,5.7
"unidirectional",0,12,"001_stevens.dat","w",26,0,0,5.7
"unidirectional",1,15,"001_stevens.dat","w",26,0,0,57.2
"unidirectional",1,11,"001_stevens.dat","w",26,0,0,17.9
"unidirectional",1,11,"001_stevens.dat","w",26,0,0,17.9
"unidirectional",1,11,"001_stevens.dat","w",26,0,0,17.9
"unidirectional",1,20,"001_stevens.dat","w",26,0,0,100
"unidirectional",0,15,"001_stevens.dat","w",26,0,0,1
"unidirectional",0,15,"001_stevens.dat","w",26,0,0,1
"unidirectional",1,13,"001_stevens.dat","w",26,0,0,32
"unidirectional",0,14,"001_stevens.dat","w",26,0,0,3.2
"unidirectional",1,13,"001_stevens.dat","w",26,0,0,57.2
"unidirectional",1,12,"001_stevens.dat","w",26,0,0,32
"unidirectional",1,16,"001_stevens.dat","w",26,0,0,100
"unidirectional",1,15,"001_stevens.dat","w",26,0,0,100
"unidirectional",1,13,"001_stevens.dat","w",26,0,0,57.2
"unidirectional",0,13,"001_stevens.dat","w",26,0,0,1.8
"unidirectional",0,12,"001_stevens.dat","w",26,0,0,5.7
"unidirectional",0,16,"001_stevens.dat","w",26,0,0,1.8
"unidirectional",0,20,"001_stevens.dat","w",26,0,0,1
"unidirectional",1,15,"001_stevens.dat","w",26,0,0,100
"unidirectional",0,12,"001_stevens.dat","w",26,0,0,5.7
"unidirectional",1,11,"001_stevens.dat","w",26,0,0,17.9
"unidirectional",0,12,"001_stevens.dat","w",26,0,0,3.2
"standard",-999,8,"002_stevens.dat","w",22,1,0,1
"standard",-999,9,"002_stevens.dat","w",22,1,0,5.7
"standard",-999,6,"002_stevens.dat","w",22,1,0,17.9
"standard",-999,7,"002_stevens.dat","w",22,1,0,5.7
"standard",-999,20,"002_stevens.dat","w",22,1,0,100
"standard",-999,5,"002_stevens.dat","w",22,1,0,3.2
"standard",-999,3,"002_stevens.dat","w",22,1,0,1
"standard",-999,15,"002_stevens.dat","w",22,1,0,32
"standard",-999,12,"002_stevens.dat","w",22,1,0,17.9
"standard",-999,18,"002_stevens.dat","w",22,1,0,57.2
"standard",-999,3,"002_stevens.dat","w",22,1,0,3.2
"standard",-999,14,"002_stevens.dat","w",22,1,0,57.2
"standard",-999,11,"002_stevens.dat","w",22,1,0,17.9
"standard",-999,10.5,"002_stevens.dat","w",22,1,0,17.9
"standard",-999,5,"002_stevens.dat","w",22,1,0,1.8
"standard",-999,6,"002_stevens.dat","w",22,1,0,3.2
"standard",-999,12,"002_stevens.dat","w",22,1,0,32
"standard",-999,5,"002_stevens.dat","w",22,1,0,1.8
"standard",-999,6,"002_stevens.dat","w",22,1,0,3.2
