"condition","red","green","blue","redness_dichotom","redness_rating","File","gender","age","student","psycho","saturation"
"unidirectional",158,106,98,0,15,"001_stevens.dat","w",20,1,1,35
"unidirectional",255,23,45,1,25,"001_stevens.dat","w",20,1,1,85
"unidirectional",146,109,103,0,18,"001_stevens.dat","w",20,1,1,25
"unidirectional",136,113,108,0,25,"001_stevens.dat","w",20,1,1,15
"unidirectional",158,106,98,0,14,"001_stevens.dat","w",20,1,1,35
"unidirectional",219,71,65,1,22,"001_stevens.dat","w",20,1,1,75
"unidirectional",255,23,45,1,30,"001_stevens.dat","w",20,1,1,85
"unidirectional",169,101,93,0,11,"001_stevens.dat","w",20,1,1,45
"unidirectional",169,101,93,0,11,"001_stevens.dat","w",20,1,1,45
"unidirectional",255,23,45,1,25,"001_stevens.dat","w",20,1,1,85
"unidirectional",158,106,98,0,14,"001_stevens.dat","w",20,1,1,35
"unidirectional",146,109,103,0,17,"001_stevens.dat","w",20,1,1,25
"unidirectional",219,71,65,1,18,"001_stevens.dat","w",20,1,1,75
"unidirectional",136,113,108,0,25,"001_stevens.dat","w",20,1,1,15
"unidirectional",255,23,45,1,23,"001_stevens.dat","w",20,1,1,85
"unidirectional",181,95,85,1,13,"001_stevens.dat","w",20,1,1,55
"unidirectional",158,106,98,0,12,"001_stevens.dat","w",20,1,1,35
"unidirectional",136,113,108,0,24,"001_stevens.dat","w",20,1,1,15
"unidirectional",197,86,77,1,16,"001_stevens.dat","w",20,1,1,65
"unidirectional",181,95,85,1,12,"001_stevens.dat","w",20,1,1,55
"unidirectional",169,101,93,0,11,"001_stevens.dat","w",20,1,1,45
"unidirectional",197,86,77,1,15,"001_stevens.dat","w",20,1,1,65
"unidirectional",169,101,93,0,11,"001_stevens.dat","w",20,1,1,45
"unidirectional",255,23,45,1,25,"001_stevens.dat","w",20,1,1,85
"unidirectional",146,109,103,0,20,"001_stevens.dat","w",20,1,1,25
"unidirectional",219,71,65,1,18,"001_stevens.dat","w",20,1,1,75
"unidirectional",197,86,77,1,17,"001_stevens.dat","w",20,1,1,65
"unidirectional",197,86,77,1,17,"001_stevens.dat","w",20,1,1,65
"unidirectional",197,86,77,1,16,"001_stevens.dat","w",20,1,1,65
"unidirectional",169,101,93,0,11,"001_stevens.dat","w",20,1,1,45
