"condition","brightness_dichotom","brightness_rating","File","gender","age","student","psycho","cd"
"binary_standard",0,7.5,"001_stevens.dat","w",19,1,1,1.8
"binary_standard",1,15,"001_stevens.dat","w",19,1,1,100
"binary_standard",0,7.5,"001_stevens.dat","w",19,1,1,1
"binary_standard",1,12,"001_stevens.dat","w",19,1,1,57.2
"binary_standard",0,8,"001_stevens.dat","w",19,1,1,5.7
"binary_standard",1,12.5,"001_stevens.dat","w",19,1,1,100
"binary_standard",1,10.5,"001_stevens.dat","w",19,1,1,17.9
"binary_standard",1,11,"001_stevens.dat","w",19,1,1,32
"binary_standard",0,8,"001_stevens.dat","w",19,1,1,1.8
"binary_standard",0,7.5,"001_stevens.dat","w",19,1,1,1
"binary_standard",0,7.5,"001_stevens.dat","w",19,1,1,1.8
"binary_standard",1,11,"001_stevens.dat","w",19,1,1,32
"binary_standard",0,8.5,"001_stevens.dat","w",19,1,1,3.2
"binary_standard",1,11,"001_stevens.dat","w",19,1,1,32
"binary_standard",1,11.5,"001_stevens.dat","w",19,1,1,57.2
"binary_standard",0,8.5,"001_stevens.dat","w",19,1,1,3.2
"binary_standard",0,8,"001_stevens.dat","w",19,1,1,1.8
"binary_standard",0,9,"001_stevens.dat","w",19,1,1,3.2
"binary_standard",1,11.5,"001_stevens.dat","w",19,1,1,57.2
"binary_standard",1,10.5,"001_stevens.dat","w",19,1,1,32
"binary_standard",0,9.5,"001_stevens.dat","w",19,1,1,5.7
"binary_standard",0,9.5,"001_stevens.dat","w",19,1,1,5.7
"binary_standard",1,12,"001_stevens.dat","w",19,1,1,100
"binary_standard",1,10.25,"001_stevens.dat","w",19,1,1,17.9
"binary_standard",0,8.5,"001_stevens.dat","w",19,1,1,1
"binary_standard",1,10.25,"001_stevens.dat","w",19,1,1,17.9
"binary_standard",1,11,"001_stevens.dat","w",19,1,1,57.2
"binary_standard",1,12,"001_stevens.dat","w",19,1,1,100
"binary_standard",1,12,"001_stevens.dat","w",19,1,1,100
"binary_standard",0,8.5,"001_stevens.dat","w",19,1,1,3.2
"binary_standard",0,7.5,"001_stevens.dat","w",19,1,1,1
"binary_standard",1,11,"001_stevens.dat","w",19,1,1,32
"binary_standard",1,10.25,"001_stevens.dat","w",19,1,1,17.9
"binary_standard",0,9.75,"001_stevens.dat","w",19,1,1,5.7
"binary_standard",0,9,"001_stevens.dat","w",19,1,1,1.8
"binary_standard",0,9.5,"001_stevens.dat","w",19,1,1,5.7
"binary_standard",0,8.5,"001_stevens.dat","w",19,1,1,1
"binary_standard",1,10.1,"001_stevens.dat","w",19,1,1,17.9
"binary_standard",1,12,"001_stevens.dat","w",19,1,1,57.2
"binary_standard",0,9,"001_stevens.dat","w",19,1,1,3.2
"binary_standard",0,5,"002_stevens.dat","w",19,1,0,1.8
"binary_standard",0,7,"002_stevens.dat","w",19,1,0,5.7
"binary_standard",1,11,"002_stevens.dat","w",19,1,0,17.9
"binary_standard",0,2,"002_stevens.dat","w",19,1,0,1
"binary_standard",1,30,"002_stevens.dat","w",19,1,0,100
"binary_standard",0,4,"002_stevens.dat","w",19,1,0,1.8
"binary_standard",1,20,"002_stevens.dat","w",19,1,0,100
"binary_standard",1,11,"002_stevens.dat","w",19,1,0,17.9
"binary_standard",1,15,"002_stevens.dat","w",19,1,0,57.2
"binary_standard",1,11,"002_stevens.dat","w",19,1,0,17.9
"binary_standard",0,5,"002_stevens.dat","w",19,1,0,1.8
"binary_standard",0,7,"002_stevens.dat","w",19,1,0,5.7
"binary_standard",1,25,"002_stevens.dat","w",19,1,0,100
"binary_standard",1,25,"002_stevens.dat","w",19,1,0,100
"binary_standard",0,6,"002_stevens.dat","w",19,1,0,1.8
"binary_standard",1,17,"002_stevens.dat","w",19,1,0,57.2
"binary_standard",1,14,"002_stevens.dat","w",19,1,0,32
"binary_standard",1,16,"002_stevens.dat","w",19,1,0,57.2
"binary_standard",1,11,"002_stevens.dat","w",19,1,0,17.9
"binary_standard",1,11,"002_stevens.dat","w",19,1,0,32
"binary_standard",0,1,"002_stevens.dat","w",19,1,0,1
"binary_standard",1,13,"002_stevens.dat","w",19,1,0,32
"binary_standard",1,12,"002_stevens.dat","w",19,1,0,17.9
"binary_standard",1,13,"002_stevens.dat","w",19,1,0,32
"binary_standard",0,8,"002_stevens.dat","w",19,1,0,5.7
"binary_standard",0,8,"002_stevens.dat","w",19,1,0,5.7
"binary_standard",0,7,"002_stevens.dat","w",19,1,0,3.2
"binary_standard",0,6,"002_stevens.dat","w",19,1,0,3.2
"binary_standard",0,1,"002_stevens.dat","w",19,1,0,1
"binary_standard",1,20,"002_stevens.dat","w",19,1,0,100
"binary_standard",1,15,"002_stevens.dat","w",19,1,0,57.2
"binary_standard",1,13,"002_stevens.dat","w",19,1,0,32
"binary_standard",0,5,"002_stevens.dat","w",19,1,0,1
"binary_standard",0,7,"002_stevens.dat","w",19,1,0,1.8
"binary_standard",0,7,"002_stevens.dat","w",19,1,0,3.2
"binary_standard",0,7,"002_stevens.dat","w",19,1,0,3.2
"binary_standard",1,18,"002_stevens.dat","w",19,1,0,57.2
"binary_standard",0,6,"002_stevens.dat","w",19,1,0,3.2
"binary_standard",0,7,"002_stevens.dat","w",19,1,0,5.7
"binary_standard",0,5,"002_stevens.dat","w",19,1,0,1
"binary_standard",1,20,"003_stevens.dat","m",23,1,0,100
"binary_standard",1,18,"003_stevens.dat","m",23,1,0,100
"binary_standard",1,10.6,"003_stevens.dat","m",23,1,0,17.9
"binary_standard",0,1,"003_stevens.dat","m",23,1,0,1
"binary_standard",0,9,"003_stevens.dat","m",23,1,0,5.7
"binary_standard",1,11,"003_stevens.dat","m",23,1,0,57.2
"binary_standard",0,8,"003_stevens.dat","m",23,1,0,3.2
"binary_standard",0,9.5,"003_stevens.dat","m",23,1,0,5.7
"binary_standard",0,0.2,"003_stevens.dat","m",23,1,0,1
"binary_standard",1,11.5,"003_stevens.dat","m",23,1,0,32
"binary_standard",0,9.5,"003_stevens.dat","m",23,1,0,5.7
"binary_standard",0,5,"003_stevens.dat","m",23,1,0,1.8
"binary_standard",1,10.8,"003_stevens.dat","m",23,1,0,17.9
"binary_standard",0,8,"003_stevens.dat","m",23,1,0,5.7
"binary_standard",1,20,"003_stevens.dat","m",23,1,0,100
"binary_standard",0,8,"003_stevens.dat","m",23,1,0,3.2
"binary_standard",1,12,"003_stevens.dat","m",23,1,0,57.2
"binary_standard",1,13,"003_stevens.dat","m",23,1,0,57.2
"binary_standard",0,0.2,"003_stevens.dat","m",23,1,0,1.8
"binary_standard",0,1,"003_stevens.dat","m",23,1,0,3.2
"binary_standard",0,1.2,"003_stevens.dat","m",23,1,0,3.2
"binary_standard",0,0,"003_stevens.dat","m",23,1,0,1
"binary_standard",0,10,"003_stevens.dat","m",23,1,0,17.9
"binary_standard",0,1,"003_stevens.dat","m",23,1,0,1.8
"binary_standard",0,0.1,"003_stevens.dat","m",23,1,0,1
"binary_standard",0,4,"003_stevens.dat","m",23,1,0,3.2
"binary_standard",1,20,"003_stevens.dat","m",23,1,0,100
"binary_standard",1,11,"003_stevens.dat","m",23,1,0,32
"binary_standard",1,10,"003_stevens.dat","m",23,1,0,17.9
"binary_standard",0,9,"003_stevens.dat","m",23,1,0,5.7
"binary_standard",1,12,"003_stevens.dat","m",23,1,0,57.2
"binary_standard",1,11,"003_stevens.dat","m",23,1,0,57.2
"binary_standard",1,15,"003_stevens.dat","m",23,1,0,100
"binary_standard",1,10.3,"003_stevens.dat","m",23,1,0,32
"binary_standard",0,8,"003_stevens.dat","m",23,1,0,1.8
"binary_standard",1,10.4,"003_stevens.dat","m",23,1,0,32
"binary_standard",1,10,"003_stevens.dat","m",23,1,0,17.9
"binary_standard",0,3,"003_stevens.dat","m",23,1,0,1.8
"binary_standard",1,10.8,"003_stevens.dat","m",23,1,0,32
"binary_standard",0,0,"003_stevens.dat","m",23,1,0,1
"binary_standard",0,2,"004_stevens.dat","w",21,1,1,1
"binary_standard",1,30,"004_stevens.dat","w",21,1,1,100
"binary_standard",0,3,"004_stevens.dat","w",21,1,1,1.8
"binary_standard",0,1,"004_stevens.dat","w",21,1,1,1.8
"binary_standard",1,40,"004_stevens.dat","w",21,1,1,100
